还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
3323563721988807,,300000000100815607,12000000000164624,6,201609010223528124,,,5000,50,5050
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3323563721988807,,300000000100815607,12000000000164540,6,201609010033604040,,,160000,1600,161600
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3323563721988807,,300000000100815607,12000000000164792,6,201609010419219092,,,795000,7950,802950
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3323563721988807,,300000000100815607,12000000000164892,6,201609010419219092,,,40000,400,40400
本期回款总金额:1010000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100938907,201609010149244107,3881421100923607,LZMGX-07ZX1030,4,36000,59999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077703,4,201609010098062103,,,0,3800,3800
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077803,4,201609010098062103,,,0,16200,16200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077005,4,201609010388264005,,,0,2200,2200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077126,4,201609010067100026,,,0,8600,8600
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077226,4,201609010067100026,,,0,1300,1300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077326,4,201609010067100026,,,0,2300,2300
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077426,4,201609010067100026,,,0,3200,3200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077526,4,201609010067100026,,,0,5100,5100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077626,4,201609010067100026,,,0,200,200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001078058,4,201609010063012058,,,0,13400,13400
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001078158,4,201609010063012058,,,0,700,700
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3881421100923607,,300000000100938907,12000000001077983,4,201609010273689183,,,0,3000,3000
本期回款总金额:60000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100994107,201609010037564007,3727311591427207,LZMGX-08ZX3034,3,18000,3027500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001339938,3,201609010132215138,,,250000,2291,252291
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340038,3,201609010132215138,,,340000,3116,343116
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340138,3,201609010132215138,,,500000,4583,504583
